Publish Date,Publisher,Title,Written by
2022 Jan 4,Neurosurg Rev,"Two-stage endoscopic assisted approach for large pineal region and falcotentorial meningioma: first stage paramedian supracerebellar infratentorial approach, second stage interhemispheric occipital transtentorial approach: surgical cases and anatomical study.",Ayyad A et al.
2021 Nov-Dec,Neurol India,MRI-Negative Occipital Lobe Epilepsy Presenting as Gelastic Seizures.,Wang S et al.
2021 Nov-Dec,Neurol India,Gravity Assisted Retraction Less Occipito Transtentorial and Trans-Splenial Approach for Posterior Third Ventricular Dermoid.,Behari S et al.
2021 Dec 22,Neuroimage Clin,Areas of cerebral blood flow changes on arterial spin labelling with the use of symmetric template during nitroglycerin triggered cluster headache attacks.,Goadsby PJ et al.
2021,Comput Intell Neurosci,Neurophysiological Verbal Working Memory Patterns in Children: Searching for a Benchmark of Modality Differences in Audio/Video Stimuli Processing.,Mancini P et al.
2021 Dec 28,J Neuropsychiatry Clin Neurosci,Possible Contribution of Altered Cholinergic Activity in the Visual Cortex in Visual Hallucinations in Parkinson's Disease.,Love S et al.
2021 Dec 16,Nutrients,Associations of Serum Magnesium with Brain Morphology and Subclinical Cerebrovascular Disease: The Atherosclerosis Risk in Communities-Neurocognitive Study.,Alonso A et al.
2021,Zh Vopr Neirokhir Im N N Burdenko,[Retrograde degeneration of visual pathway].,Kudieva ES et al.
2022 Jan,Neurohospitalist,The Clinical Utility of High-Resolution Vessel Wall Imaging in Screening for Meningovascular Neurosyphilis.,Dumitrascu OM et al.
2021 Dec 8,Int J Environ Res Public Health,Physiological and Psychological Effects of Visual Stimulation with Green Plant Types.,Park SA et al.
2021 Dec 23,Eur J Nucl Med Mol Imaging,Usefulness of brain FDG PET/CT imaging in pediatric patients with suspected autoimmune encephalitis from a prospective study.,Wang H et al.
2021 Nov,Cureus,GammaTile Brachytherapy Combined With External Beam Radiation Therapy for the Treatment of a Partially Resected Secondary Glioblastoma (WHO Grade 4 IDH-Mutant Astrocytoma): Matching External Beam Dose Gradient to Brachytherapy Dose Fall-Off.,Yang K et al.
2021 Nov,Cureus,Persistent Hiccups: An Unusual Presentation of Aspiration Pneumonia in the Elderly.,De Barry T et al.
2021 Dec 17,World Neurosurg,"Endoscopic high occipital interhemispheric transtentorial approach for lesions in the anterosuperior cerebellum, upper fourth ventricle, and upper dorsal brain stem.",Mase M et al.
2021,Front Neurol,"Abnormalities of Cerebral White Matter Microstructure in Children With New-Onset, Untreated Idiopathic-Generalized Epilepsy.",Qiu L et al.
2021,Front Psychiatry,"Changes in Brain Structure, Function, and Network Properties in Patients With First-Episode Schizophrenia Treated With Antipsychotics.",Hong N et al.
2021,Front Aging Neurosci,"Free-Living Physical Activity Measured With a Wearable Device Is Associated With Larger Hippocampus Volume and Greater Functional Connectivity in Healthy Older Adults: An Observational, Cross-Sectional Study in Northern Portugal.",Santos NC et al.
2021 Sep,Semin Nephrol,Functional Magnetic Resonance Imaging Findings in Children and Adolescents With Chronic Kidney Disease: Preliminary Findings.,Hooper SR et al.
2021 Nov 6,,The Anatomy of the Cerebral Cortex,Mehra S et al.
2021 Dec 14,J Neurosurg,Role of the parietooccipital fissure and its implications in the pathophysiology of posterior medial temporal gliomas.,Kumabe T et al.
2021 Dec 13,Graefes Arch Clin Exp Ophthalmol,How lesions at different locations along the visual pathway influence pupillary reactions to chromatic stimuli.,Tonagel F et al.
2021 Dec 14,Proc Natl Acad Sci U S A,Pop-out search instigates beta-gated feature selectivity enhancement across V4 layers.,Maier A et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Modulating emotion processing using transcranial alternating current stimulation (tACS) - A sham-controlled study in healthy human participants.,Liu S et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Investigating the neural signature of microsleeps using EEG.,Jones RD et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,"Balanced, Orientation-Dependent Dichoptic Masking in Cortex of Visually Normal Humans Measured Using Electroencephalography (EEG).",Hallum LE et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,ECoG Power Alterations Across Stages of Prolonged Transcorneal Electrical Stimulation in the Blind Mice.,Chan LLH et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Filling in the Visual Gaps: Shifting Cortical Activity using Current Steering.,Tat Wong Y et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,A Novel Approach to Decode Covert Spatial Attention Using SSVEP and Single-Frequency Phase-Coded Stimuli.,Sarma SE et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Estimation of Retinotopic Map of Awake Mouse Brain Based upon Retino-Cortical Response Model.,Katayama N et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,"Relationships between cerebrovascular reactivity, visual-evoked functional activity, and resting-state functional connectivity in the visual cortex and basal forebrain in glaucoma.",Chan KC et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Interhemispheric Cortical Network Connectivity Reorganization Predicts Vision Impairment in Stroke.,Sabel BA et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Spectrum power and brain functional connectivity of different EEG frequency bands in attention network tests.,Li G et al.
2021 Nov,Annu Int Conf IEEE Eng Med Biol Soc,Phase-amplitude modulation during critical period plasticity in mouse visual cortex.,Lai-Hang Chan L et al.
2021 Dec 7,Neurosci Biobehav Rev,The neurobiology of treatment-resistant depression: A systematic review of neuroimaging studies.,Bergfeld IO et al.
2021,Front Aging Neurosci,Diffusion Tensor Imaging Study of Olfactory Identification Deficit in Patients With Mild Cognitive Impairment.,Xi Q et al.
2021 Dec,PLoS Biol,Noise-trained deep neural networks effectively predict human vision and its neural responses to challenging images.,Tong F et al.
2021 Dec 8,Brain Behav,Cerebral processing of sharp mechanical pain measured with arterial spin labeling.,Ende G et al.
2021 Dec 8,Soc Cogn Affect Neurosci,A Multidimensional Examination of Psychopathy Traits and Gray Matter Volume in Adults.,Sadeh N et al.
2021 Nov 16,World J Clin Cases,Focal intramural hematoma as a potential pitfall for iatrogenic aortic dissection during subclavian artery stenting: A case report.,Zhan QL et al.
2021 Nov 5,Medicine (Baltimore),Quadrantanopia as the only symptom of post-COVID stroke in the occipital pole: Case report.,Nowomiejska K et al.
2021,Front Aging Neurosci,"Leisure Activities and Their Relationship With MRI Measures of Brain Structure, Functional Connectivity, and Cognition in the UK Biobank Cohort.",Sexton CE et al.
2021 Nov,Eur Rev Med Pharmacol Sci,Functional convergence spasm: an unexpected finding in a patient with focal epilepsy.,Ferlazzo E et al.
2021 Dec 2,Neurol Sci,Alice in Wonderland syndrome: a lesion mapping study.,Pantano P et al.
2021 Dec 1,J Clin Invest,Raising the stakes for cortical visual prostheses.,Yoshor D et al.
2021 Nov 30,Elife,Columnar processing of border ownership in primate visual cortex.,Reynolds JH et al.
2021 Nov 29,Epilepsia,Atlas of lesion locations and postsurgical seizure freedom in focal cortical dysplasia: A MELD study.,Adler S et al.
2021 Dec 7,Proc Natl Acad Sci U S A,Predicting multilingual effects on executive function and individual connectomes in children: An ABCD study.,Chun MM et al.
2021 Nov,PLoS Comput Biol,Dissecting cascade computational components in spiking neural networks.,Liu JK et al.
2021 Nov,PLoS Comput Biol,Sensory coding and contrast invariance emerge from the control of plastic inhibition over emergent selectivity.,Hamker FH et al.
2021 Dec 15,Acta Neurol Taiwan,Symptomatic Migraine with Prolonged Visual Aura and Unruptured Occipital Arteriovenous Malformation.,Yeh PS et al.
2021 Oct,Neurol Clin Pract,Occipital Epilepsy With Subcortical Atrophy in Celiac Disease: A Case Report.,Dachy B et al.
2021,Dis Markers,Machine Learning Classification of Mild Traumatic Brain Injury Using Whole-Brain Functional Activity: A Radiomics Analysis.,Ye H et al.
2021 Nov 27,Transl Psychiatry,Data-driven analysis of kappa opioid receptor binding in major depressive disorder measured by positron emission tomography.,Miller JM et al.
2021 Dec,Epilepsy Behav,Different circuitry dysfunction in drug-naive patients with juvenile myoclonic epilepsy and juvenile absence epilepsy.,Franceschetti S et al.
2021 Nov 25,Nat Commun,NogoA-expressing astrocytes limit peripheral macrophage infiltration after ischemic brain injury in primates.,Bourne JA et al.
2021 Nov 23,Childs Nerv Syst,"Comparative anatomy of dissected optic lobes, optic ventricles, midbrain tectum, collicular ventricles, and aqueduct: evolutionary modifications as potential explanation for non-tumoral aqueductal anomalies in humans.",Saluja S et al.
2021 Dec,Epilepsy Behav,Cortical regions and networks of hyperkinetic seizures: Electrocorticography and diffusion tensor imaging study.,Mikuni N et al.
